FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkH-yyyy-Gk-MVx-12;Automatismi servizi ausialiari MT;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-13;Collegamenti MT;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-14;Stallo parallelo e.o traslazione;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-14-14;Interuttore ;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-14-16;Sezionatore;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-15;Stallo trasformatore;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-15-14;Interuttore ;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-15-16;Sezionatore;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-16;Linee di proprieta' MT;0000;11;1150;LNA;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-18;Contatori energia;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-MVx-19;Protezioni elettriche ;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-MVx-20;Stallo rifasamento;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-20-14;Interuttore ;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-20-16;Sezionatore;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-21;Stallo conversione;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-21-14;Interuttore ;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-21-16;Sezionatore;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-22;Stallo S.A.;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-22-14;Interuttore ;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-22-16;Sezionatore;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-LVx;Sezione smistamento BT;0000;11;1150;ALI;FL_LVSECT;FL00000H
kkH-yyyy-Gk-LVx-10;Sensori di corrente e di tensione (TA/TV);0000;11;1150;ALI;FL_LVSECT;FL00000H
kkH-yyyy-Gk-LVx-10-01;Trasformatore di corrente;0000;11;1150;ALI;FL_LVSECT;FL00000H
kkH-yyyy-Gk-LVx-10-02;Trasformatore di tensione;0000;11;1150;ALI;FL_LVSECT;FL00000H
kkH-yyyy-Gk-LVx-11;Stallo  Linea BT;0000;11;1150;ALI;FL_LVSECT;FL00000H
kkH-yyyy-Gk-LVx-11-14;Interuttore ;0000;11;1150;ALI;FL_LVSECT;FL00000H
